american,isn,gauge,speed,big
gauge,note,ics,top,today
advertising,won,throw,years,give
throw,good,years,big,start
automatic,day,come,university,ford
second,taurus,big,sci,shift
life,moon,read,isn,good
big,good,isn,manual,light
taurus,writes,won,ford,gets
taurus,good,boost,edu,such
thing,sky,good,second,dark
sci,come,space,quite,boost
big,great,manual,note,head
quite,throw,isn,sci,great
throw,sky,great,another,thing
head,boost,dark,sci,redesign
gauge,note,ics,american,quite
thing,ford,years,great,boost
taurus,big,find,ics,isn
taurus,come,american,sci,throw
